NAME,FOUNDED_AT
CAKE HEALTH,1/1/2010
CALCULA TECHNOLOGIES,1/1/2012
CALM,5/4/2012
CAMBRIAN GENOMICS,1/1/2011
CAMPUS QUAD,1/1/2012
CANTALOUPE SYSTEMS,1/1/2003
CAPSILON CORPORATION,1/1/2004
CAPTUREPROOF,2/1/2012
CAR RENTALS MARKET,3/3/2013
CARBONFLOW,1/1/2006
CARDFREE,11/1/2012
CARE AT HAND,1/1/2011
CARELULU,1/1/2013
CAREMESSAGE,5/1/2012
CARHOOTS.COM,1/1/2012
CARMOT THERAPEUTICS,1/1/2008
CARTUP COMMERCE,7/1/2010
CASINITY,9/1/2013
CASTLIGHT HEALTH,1/1/2008
CASUAL COLLECTIVE,1/1/2007
CASUALING,4/1/2011
CAUSTIC GRAPHICS,1/1/2007
CAYMAY EDUCATION,7/25/2012
CAZOOMI,10/1/2009
CELERY,2/1/2013
CELLSCOPE,1/1/2010
CHACHA,12/1/2005
CHAIN,2/1/2014
CHAIRISH,1/1/2013
CHANGETIP,12/17/2013
CHANNEL MEDSYSTEMS,1/1/2009
CHANNELMETER,8/1/2012
CHARTBOOST,2/1/2011
CHARTIO,6/1/2010
CHAT SPORTS,10/1/2011
CHATOUS,11/1/2012
CHECKR,1/1/2014
CHEFS FEED,1/1/2012
CHICKRX,1/1/2010
CHIRPLY,1/1/2010
CHOOSE ENERGY,1/1/2008
CHUBBIES SHORTS,1/1/2011
CHUG,5/1/2010
CHUTE,6/1/2011
CINEMALLTEC LLC,3/24/2014
CIRCA,12/1/2011
CIRCLECI,9/1/2011
CIRCLEUP,10/1/2011
CITYHOUR,1/3/2013
CIVICSOLAR,12/1/2009
CLARIVE SOFTWARE,4/23/2010
CLASSDOJO,6/1/2011
CLASSOWL,6/1/2013
CLAY.IO,1/1/2012
CLEAN POWER FINANCE,1/1/2007
CLEARCARE,1/1/2010
CLEARFIT,10/1/2007
CLEARSLIDE,10/7/2009
CLEVER,1/1/2012
CLICKFACTS,1/1/2005
CLICKST,5/1/2010
CLIKTHROUGH,7/1/2007
CLINKLE,1/1/2011
CLOUD ENGINES,3/17/2007
CLOUD4WI,1/31/2014
CLOUD9 IDE,1/1/2010
CLOUDACADEMY,3/1/2013
CLOUDCADE,11/11/2013
CLOUDCANNON,11/26/2012
CLOUDCROWD,4/30/2009
CLOUDFLARE,7/1/2009
CLOUDHELIX,1/1/2014
CLOUDMARK,1/1/2001
CLOUDPASSAGE,1/1/2009
CLOUDTALK,1/1/2010
CLOUDWORDS,3/26/2010
CLUSTER LABS,1/1/2013
CODE FOR AMERICA,9/1/2009
CODECOMBAT,4/1/2013
CODEHS,5/1/2012
CODENVY,11/1/2012
CODIE,2/1/2013
CODINGAME,4/4/2012
COFFEE AND POWER,1/1/2011
COFFEE MEETS BAGEL,1/1/2012
COFFEETABLE,1/1/2011
COGNITIVE NETWORKS,1/1/2008
COIN,1/1/2012
COINALYTICS CO.,4/17/2014
COINBASE,6/1/2012
COLIBRÕ,1/1/2013
COLINGO,1/1/2011
COLLUSION,1/1/2012
COMMITCHANGE,1/1/2012
COMMON SENSE MEDIA,1/1/2003
CONCURRENT INC,1/1/2008
CONFERENCE HOUND,1/1/2010
CONNECT,5/22/2012
CONNECTSOLUTIONS,7/1/2007
CONSANO MEDICAL INC.,9/25/2012
CONVO,1/1/2011
CONVOKE SYSTEMS,1/1/2006
CONVOZINE,1/1/2011
COPIOUS,1/1/2011
COTAP,5/1/2013
COUCHSURFING,6/13/2004
COUPLE,1/1/2012
COURSMOS,1/7/2014
COVERHOUND,5/1/2010
COVERMATE PRODUCTS,1/1/2007
COVEROO,10/1/2008
CRAVE,1/1/2010
CREATIVELIVE,4/1/2010
CREDIBLE,11/1/2012
CREDIT KARMA,6/1/2007
CRITTERCISM,1/1/2011
CROWDCURITY,7/15/2013
CROWDFLOWER,12/20/2009
CROWDMED,10/1/2012
CROWDMOB,9/1/2010
CROWDOPTIC,1/1/2010
CRUSHPATH,4/1/2011
CSRWARE,3/3/2009
CUFF,1/1/2013
CURRICULET,1/1/2012
CUYANA,1/1/2013
DABO HEALTH,1/1/2011
DAGGERFOIL GROUP,4/1/2013
DAILYCRED,1/1/2011
DATABRICKS,1/1/2013
DATAMEER,9/1/2009
DATASIFT,8/1/2010
DATASNAP.IO,6/27/2014
DATAVOLUTION,1/1/2013
DATOMETRY,1/1/2013
DEEM,1/1/2000
DEGREED,3/1/2012
DEKKO,1/1/2011
DELECTABLE,1/1/2011
DELIVERY AGENT,1/1/2001
DELPOR,1/1/2009
DEMANDBASE,1/1/2006
DEPICT,8/1/2013
DERBYWIRE,9/9/2012
DERCETO,1/1/2003
DESIGNLAB,7/1/2013
DESKGOD,1/1/2008
DESMOS,1/1/2011
DIGIT,1/1/2014
DINKLIFE,10/1/2010
DIOBEX,1/1/2003
DIPITY,4/12/2007
DISCOVERLY,5/1/2012
DISQUS,5/5/2007
DIVIDEND SOLAR,1/1/2013
DIY,11/1/2011
DJZ,6/1/2012
DLOHAITI,1/1/2012
DOBLET,8/1/2013
DOCKER,1/1/2010
DOCSEND,1/1/2013
DOCTOR ON DEMAND,10/1/2012
DOCTORBASE,4/9/2010
DOCUSIGN,1/1/2003
DOGEO,5/3/2012
DOGTIME MEDIA,1/1/2006
DOKOGEO,1/1/2010
DOLLS KILL,1/1/2012
DONORSPLAY,1/1/2013
DOOCHOO,1/29/2010
DOT429,6/1/2010
DOUBLEDUTCH,1/1/2011
DOUBLETWIST,3/1/2007
DOWN,1/25/2013
DOXIQ,2/1/2014
DOZ,10/15/2013
DRAMATIZE,6/12/2014
DRAWN TO SCALE,3/10/2010
DREAMERZ FOODS,1/1/2006
DREAMFUNDED,1/1/2014
DREAMHEART,1/1/2011
DRIPDROP,1/1/2008
DRIVERSIDE,9/1/2007
DRONE.IO,10/2/2012
DRONEDEPLOY,1/1/2013
DROP,1/1/2012
DROP MESSAGES,5/1/2013
DROPBOX,6/1/2007
DUETTO,2/24/2012
DYNAMIGHTY,3/1/2011
DYSONICS,1/1/2012
EAGLENINJA,3/1/2014
EARNEST,1/1/2013
EASYPAINT,1/1/2012
EASYPOST,9/1/2012
EATWITH,2/7/2012
EBUDDY,9/1/2003
ECODOMUS,1/1/2010
EDUCATIONSUPERHIGHWAY,1/1/2012
EGOMOTION,6/1/2011
EIGHTFOLD LOGIC,1/1/2006
ELASTICBOX,9/2/2011
ELLA HEALTH,1/1/2011
EMBEE MOBILE,9/1/2008
EMOTIVE COMMUNICATIONS,7/1/2011
ENCODING.COM,9/1/2008
ENDORPHIN,2/15/2012
ENDOVENTION,1/1/2005
ENERGYCHEST,8/1/2013
ENGAGOR,2/10/2011
ENGINE YARD,1/1/2006
ENLITIC,1/1/2014
ENSENDA,1/1/2001
ENTELO,5/1/2011
ENTHUSE,1/1/2011
ENVIVIO,1/1/2000
ENVOY,1/1/2013
EPANTRY,10/1/2012
EPARACHUTE,1/1/2012
EPIBIOME,10/8/2013
EPIPHYTE,1/1/2013
EPOCH ENTERTAINMENT,1/1/2012
EQUITYLANCER,7/1/2012
ESTATE ASSIST,1/1/2014
ETHONOVA,1/1/2012
ETHOR.COM,10/1/2010
EVENTBRITE,1/1/2006
EVEREST,1/1/2012
EVERGRAM,12/8/2011
EVERLANE,1/1/2010
EVERYWARE,12/1/2013
EVOLEEN,9/1/2013
EVRST,1/1/2012
EXILES,12/1/2011
EXO,1/1/2003
EXO5,1/1/2006
EXPA,5/2/2013
EXPECT LABS,1/1/2011
EXPENSIFY,5/1/2008
EXPERIMENT,3/12/2012
EXPLORRA,1/1/2009
EXTOLE,1/1/2010
EYEGROOVE,10/1/2013
FABLER COMICS,4/27/2009
FAMO.US,6/1/2011
FANBASE,8/1/2009
FANBRIDGE,1/1/2006
FANMINDER,10/3/2008
FANTEX,1/1/2012
FANZY,2/1/2011
FARFARIA,11/1/2010
FASTLY,3/8/2011
FEDERATED MEDIA,1/1/2005
FIDELIS,4/1/2011
FILEPICKER.IO,9/1/2011
FINANCIALFORCE.COM,9/1/2009
FINDERY,1/1/2011
FINGERPRINT,7/1/2010
FIRESPOTTER LABS,4/1/2011
FIRST LOOK MEDIA,9/29/2012
FIRST OPINION,1/1/2013
FIRSTJOB,11/5/2011
FITBIT,5/1/2007
FITMOB,6/1/2013
FITSTAR,4/1/2012
FIVE PRIME THERAPEUTICS,1/1/2002
FIVESTARS,1/1/2011
FIXED - PARKING TICKETS,12/1/2013
FLAGTAP,10/1/2012
FLEKSY,5/18/2011
FLEXSCORE,9/1/2012
FLIGOO,10/17/2011
FLINJA,10/1/2013
FLIPCAUSE,9/1/2013
FLIPTOP,1/1/2010
FLITE,1/1/2006
FLUX FACTORY,1/1/2012
FLYR,1/1/2013
FOGG MOBILE,7/1/2010
FOODILY,1/1/2010
FORA.TV,1/1/2005
FORGEROCK,2/1/2010
"FORM DEVICES, INC.",6/11/2014
FORTSCALE,1/1/2012
FORVM,5/11/2012
FOTOPEDIA,10/1/2008
FOUNDHEALTH.COM,1/1/2010
FOUNDVALUE,12/1/2003
FOUNTAIN,11/1/2013
FRAMED DATA,1/1/2013
FRANKLY,4/10/2011
FRANKLY INC,2/1/2013
FRENTING,1/1/2009
FRESHDESK,1/1/2010
FRONTBACK,1/1/2011
FUEL (FUELPOWERED.COM),9/1/2011
FUNDBOX,1/1/2012
FUNDERSCLUB,7/1/2012
FUNTIGO CORPORATION,1/1/2002
FUTUREADVISOR,1/1/2010
FUZE,1/1/2009
FYUSION,1/1/2013
GABSTR,6/17/2013
GAMEDUELL,12/1/2003
GAMELAYERS,7/1/2007
GAMESALAD,8/27/2007
GAMETIME,1/1/2013
GAMIFY,2/10/2010
GAPJUMPERS,1/1/2012
GEEKLIST,4/9/2011
GELI,2/15/2010
GEMSHARE,1/1/2013
GENBOOK,1/1/2007
GET SATISFACTION,9/1/2007
GETABLE,1/1/2010
GETAROUND,9/10/2009
GETBETTER!,7/13/2012
GETGOING,1/1/2012
GETMYBOAT,1/1/2012
GETSOCIAL,6/1/2012
GIFTLY,1/1/2010
GIGWALK,8/1/2010
GIGWELL,12/1/2012
GILD,11/1/2011
GINGER.IO,1/1/2011
GINZAMETRICS,5/1/2010
GITHUB,2/29/2008
GIVING ASSISTANT,8/1/2013
GIVKWIK,1/1/2012
GIZMO.COM,3/1/2011
GLAMPINGHUB.COM,1/1/2012
GLOBAL BLOOD THERAPEUTICS,1/1/2012
GLOW,5/1/2013
GLOWING PLANT,9/1/2012
GLSS,1/1/2011
GLU MOBILE,1/1/2001
GO DISH,4/1/2013
GOBALTO,10/23/2008
GOGORO,1/1/2011
