NAME,FOUNDED_AT
MYSTORE.COM,1/1/2006
MYTIME,6/1/2011
MYTIPS,4/26/2013
MYTRUS,1/1/2009
MYWEBROOM,6/1/2012
MYZE,1/1/2013
N3TWORK,1/1/2013
NAPO PHARMACEUTICALS,1/1/2001
NARVAR,1/1/2012
NAVDY,1/1/2013
NAVERA,1/1/2009
NAVMII,7/12/2010
NAYTEV,2/22/2014
NEOCASE SOFTWARE,1/1/2001
NEON LABS,1/1/2012
NETBOOKS,1/1/2006
NETPULSE,1/1/2009
NETWORK,3/1/2013
NEUVERUS HEALTH,8/15/2010
NEW RELIC,2/1/2008
NEWS360,6/1/2010
NEWSBOUND,1/1/2011
NEWSMAVEN,6/6/2013
NEXANT,1/1/2000
NEXTBIT SYSTEMS,1/1/2013
NEXTDOOR,1/1/2010
NEXTUSER,3/6/2013
NGINX,1/1/2011
NIGHTINGALE,7/23/2013
NIMBUS DATA,1/1/2006
NINTHDECIMAL,3/20/2003
NIRMIDAS BIOTECH,1/1/2013
NITRO,1/1/2005
NITROUS,7/1/2012
NODEPRIME,2/4/2013
NOMAD GOODS,9/10/2012
NOMIKU,6/1/2012
NOREDINK,1/1/2012
NORTH TECHNOLOGIES,1/1/2011
NOTIFIXIOUS,6/1/2008
NOVI,7/20/2013
NOVOED,1/1/2013
NUKOTOYS,1/1/2008
NURIGENE,1/1/2010
NURIX,1/1/2009
NWAY,1/1/2011
OBJECTLABS,2/1/2011
OBVIOUS,1/1/2006
OCULEVE,1/1/2011
ODESK,1/1/2005
OKTA,12/1/2008
OLIO DEVICES,1/1/2013
OLIVERS APPAREL,8/13/2013
OLSET,9/4/2012
OLYFE,1/1/2010
OMADA HEALTH,1/1/2011
OMNITRAIL TECHNOLOGIES,1/1/2007
ONAIR PLAYER,1/1/2012
ONDORE,1/1/2005
ONE INC.,8/1/2011
ONE KINGS LANE,1/1/2009
ONE MEDICAL GROUP,1/1/2007
ONEFOLD,4/1/2013
"ONELOGIN, INC.",1/1/2009
ONEMOB,6/1/2014
ONLINE WARMONGERS,1/1/2009
OORT INC,3/17/2013
OOTU,1/1/2007
OPBEAT,1/1/2012
OPEN GARDEN,2/11/2011
OPEN MHEALTH,9/1/2011
OPEN PLACES,3/1/2008
OPEN WAGER,1/1/2013
OPENCARE,1/1/2011
OPENDNS,11/1/2005
OPENLABEL,1/1/2012
OPS USA,11/1/2013
OPSMATIC,3/1/2013
OPTIMALIZE.ME,2/1/2013
OPTIMIZELY,1/1/2010
OQO,1/1/2000
ORDERAHEAD,12/1/2011
ORGANIZER,1/1/2010
ORION LABS,1/1/2013
OROECO,1/1/2011
OTHER MACHINE,1/1/2013
OXCEPT,11/1/2013
PACERPRO,1/1/2011
PACKETTRAP NETWORKS,1/1/2006
PACT FITNESS,11/15/2010
PAGERDUTY,2/1/2009
PALAMIDA,12/1/2004
PANDODAILY,1/16/2012
PANORAMA9,5/1/2010
PANTHEON,9/1/2010
PANTRY,1/1/2012
PAPERG,1/1/2008
PARTENDER,11/1/2012
PARTNERED,3/1/2012
"PASSARE, INC.",11/1/2012
PATENT SAFARI,1/1/2010
PATH,11/1/2010
PATHBRITE,1/1/2012
PATREON,5/7/2013
PEARL.COM,1/1/2003
PEEK KIDS,1/1/2006
PEER,2/5/2013
PEER.IM,12/1/2012
PEERLYST,1/1/2011
PEERSPACE,10/1/2013
PENXY,4/15/2012
PERFECT ESCAPES,1/1/2006
PERFECTHITCH,2/1/2011
PERLSTEIN LAB,1/1/2014
PERSISTIQ,1/1/2014
PETCUBE,5/26/2012
PHIGITAL,9/18/2012
PHIZZLE,1/1/2005
PHLORONOL,1/1/2010
PHONEPLUS,1/1/2012
PHORENT,2/17/2012
PICK1,1/1/2010
PIGGYBACKR,1/1/2011
PILLOW,1/15/2014
PINTEREST,1/1/2009
PIPELINERX,9/8/2009
"PISTON CLOUD COMPUTING, INC.",1/1/2011
PIVOTAL SOFTWARE,4/1/2013
PIXLEE,6/1/2012
PIXOWL,6/1/2011
PLACECAST,1/1/2005
PLAID,1/1/2012
PLANET LABS,12/29/2010
PLANET SOHO,1/1/2009
PLANTSENSE,1/1/2006
PLANWISE,1/5/2011
PLAYHEM,7/1/2009
PLAYPHONE,4/1/2003
PLAYWITH,1/1/2014
PLIVO,4/28/2011
PLUGGER,5/1/2013
PLUM DISTRICT,1/1/2009
PLYMPTON,1/1/2011
POCKET,8/6/2007
POCKET CHANGE,1/1/2011
POCKET GEMS,9/1/2009
POCKETMATH,1/1/2011
POCKETSUITE,3/1/2013
PODADDIES,1/1/2006
POINTACROSS,1/1/2007
POINTSHOUND,1/1/2012
POLARION SOFTWARE,1/1/2005
POLL EVERYWHERE,6/1/2008
PONOMUSIC,1/1/2011
PONTABA,12/1/2010
POPEXPERT,1/1/2012
POPSUGAR,4/1/2006
POPUPSTERS,10/15/2013
POSIT SCIENCE,1/1/2002
POSTMATES,5/1/2012
POVIO,12/1/2013
PRACTICE FUSION,7/10/2005
PREACT,10/1/2012
PREMISE,1/1/2012
PRESENCELEARNING,1/1/2009
PRESENTIGO,8/10/2014
PRESIDIO PHARMACEUTICALS,1/1/2006
PREZI,4/1/2009
PRICEONOMICS,12/1/2011
PRIME GENOMICS,1/1/2010
PRISM SKYLABS,7/1/2011
PRODUCT HUNT,11/6/2013
PROFUSA,1/1/2009
PROJECT FROG,1/1/2006
PROMPT.LY,1/1/2013
PROSETTA,1/1/2002
"PROSKY, INC.",1/1/2013
PROSPER,2/1/2006
PROVEN,9/25/2009
PROWL,1/1/2013
PROXTOME,6/26/2012
PUBNUB,8/1/2010
PUDDING MEDIA,1/1/2006
PULSELOCKER,11/1/2011
PUMODO,3/1/2012
PUREPLAY,11/1/2004
PURPLE,1/1/2012
PURSE.IO,1/1/2014
PUSHD,1/1/2012
PUSHPOINT - ACQUIRED BY CAPITAL ONE BANK,9/1/2011
PV EVOLUTION LABS,1/1/2009
QARDIO,1/1/2012
QORDOBA,1/1/2012
QUANTCAST,1/1/2006
QUANTIFIED SKIN,1/1/2013
QUANTUM4D,12/11/2007
QUEST APP,1/1/2013
QUEST APP,1/1/2014
QUI.LT,4/1/2011
QUIBB,1/1/2013
QUICKPAY,1/1/2010
QUID,1/1/2010
QUIP,1/1/2012
QURI,1/1/2012
QWALYTICS,6/1/2013
RABBL,12/1/2010
RACE YOURSELF,6/17/2013
"RADIUMONE, INC.",9/1/2009
RADIUS,1/1/2009
RAINFOREST,6/1/2012
RALLY.ORG,3/14/2009
RALLYWARE,5/1/2012
RAVEL LAW,5/15/2012
RAZZ,1/1/2002
RDIO,8/1/2008
READING RAINBOW,1/1/2012
READYFORZERO,5/1/2010
REALM,1/1/2011
REALTYSHARES,4/1/2013
REBEL COAST WINERY,12/15/2012
RECOMMIND,1/1/2000
RECURLY,7/1/2009
RED CLAY,7/1/2012
RED HOT LABS,1/1/2012
RED KARAOKE,4/3/2007
REDCAP,1/1/2010
REESIO,1/20/2012
REFERLY,4/17/2012
REFERRALMD,8/11/2011
REFRAME IT,2/1/2007
RELATED CONTENT DATABASE (RCDB),1/1/2006
RELAYRIDES,11/1/2008
REMIND,8/1/2011
"REMIXATION, INC.",6/1/2006
REMOOV,1/1/2013
RENTLYTICS,2/1/2013
REPAIRPAL,1/1/2007
REPPIFY,5/1/2009
RESILIENT NETWORK SYSTEMS,1/1/2009
RESPECT NETWORK,1/1/2010
RETARGETER,4/1/2009
REV,8/1/2010
REVEL SYSTEMS,9/15/2010
REVENTIVE,8/11/2011
REVINATE,1/1/2009
REVIVERMX,1/1/2009
REVIVN,3/1/2012
REVL,12/1/2011
REVOLVE ROBOTICS,3/1/2012
REWARDER,10/24/2012
REWARDLI,1/15/2011
"RHUMBIX, INC.",1/1/2014
RIBBON,7/1/2012
RICHRELEVANCE,1/1/2006
RICO FROM MINDHELIX,7/30/2014
RIDEJOY,1/1/2011
RIDEPAL,2/17/2011
RIFFRAFF,12/31/2013
RIFFSY,2/1/2014
RINGDNA,1/1/2012
RINGZ.TV,12/1/2010
RIO GRANDE NEUROSCIENCES,1/1/2011
RIP VAN WAFELS,6/1/2010
RIPPLD,1/1/2011
RIPPLE LABS,1/1/2012
RISE,1/1/2013
RISKIQ,1/1/2009
RIXTY,1/1/2009
ROAD HERO,9/1/2010
ROAM ANALYTICS,1/1/2012
ROBOT APP STORE,6/1/2011
ROCK HEALTH,1/1/2010
ROCKET LAWYER,8/27/2008
ROCKETBOLT,1/1/2013
ROCKSBOX,4/1/2012
ROCKYOU,11/1/2005
ROLEPOINT,1/1/2011
ROLLBAR,5/1/2012
ROMOTIVE,8/1/2011
ROOST,11/11/2013
ROSES & RYE,9/1/2011
ROUNDRATE,8/1/2012
RUBICON MEDIA,1/1/2007
RUNNABLE INC.,1/1/2012
RUNSCOPE,1/1/2013
SAFE SHEPHERD,10/1/2011
SAMASOURCE,6/1/2008
SAMBA TV,11/1/2008
SANFRANSEO,1/1/2014
SANO,12/29/2011
SAPHO,1/1/2014
SAUCE LABS,8/1/2008
SAVEUP,4/1/2011
SAVVYSOURCE FOR PARENTS,1/1/2005
SAY MEDIA,9/1/2005
SCALITY,1/1/2009
SCHEDULE SAVVY,1/1/2014
SCHOLAROO,1/1/2012
SCHOOLMINT,1/1/2013
SCOOP.IT,11/1/2010
SCOOT NETWORKS,1/1/2011
SCORE THE BOARD,2/22/2013
SCRIBD,1/1/2007
SCRIPPED,7/7/2007
SCRIPTED,5/1/2011
SCRIPTROCK,1/21/2012
SCRYBE,1/1/2007
SEAHORSE,1/1/2013
SEAL SOFTWARE,1/1/2010
SECOND GENOME,1/1/2009
SECRET,10/1/2013
"SEED LABS, INC.",1/1/2013
SEEDCHANGE,4/1/2012
SEESPACE,3/8/2013
SEGMENT,1/1/2012
SELF HEALTH NETWORK,1/1/2011
SENDWITHUS,1/1/2013
SENSE PLATFORM,9/1/2012
SENSE.LY,5/1/2013
SENSELABS (FORMERLY NEUROTOPIA),1/1/2009
SENSENTIA,11/28/2011
SENSOR TOWER,1/1/2013
SENTIENT TECHNOLOGIES,1/1/2007
SENTRI,3/27/2014
SEQUENCE,7/1/2005
SETTLE,7/30/2014
SEWORKS,12/1/2012
SHADOW PUPPET,3/1/2013
SHARE PRACTICE,8/1/2012
SHARE SOME STYLE,1/1/2013
SHAREDESK,8/1/2012
SHARETHROUGH,1/1/2008
SHASTA CRYSTALS,10/29/2008
SHELFFLIP,1/1/2013
SHIBUMI,1/1/2011
SHIFT PAYMENTS,1/1/2014
SHIFTPLANNING,2/10/2010
SHIPEY,9/16/2013
SHIPPO,10/1/2013
SHOPPINPAL,1/1/2012
SHOPSAVVY,1/1/2008
SHOPSQUAD/OWNZA,2/24/2011
SHOPSY,5/3/2012
SHOPTAP,1/1/2011
SHORTCUT LABS,1/1/2013
SHOTO,11/3/2013
SHOTS,11/12/2013
SHOWPAD,5/1/2011
SHUDDLE,1/1/2014
SHYP,7/1/2013
SIASTO,1/1/2012
SIDE.CR,2/1/2012
SIFT SCIENCE,6/1/2011
SIFT SHOPPING,1/1/2012
SIGFIG,1/1/2011
SIGHTCALL,12/1/2007
SIGNATURE,11/1/2010
SILURIA TECHNOLOGIES,1/1/2008
SIMPLYINSURED,1/1/2012
SIMRACEWAY,3/1/2008
SINGULAR,1/1/2014
SITEBRAINS,8/1/2010
SIXDOORS,3/1/2013
SKIMBLE,1/1/2010
SKOUT,1/1/2007
SKRITTER,6/1/2008
SKULLY HELMETS,2/1/2013
SKULPT,7/8/2009
SKYBULLS,1/1/2012
SKYCACHE,1/1/2011
SKYCATCH,1/1/2013
SKYROAM,1/1/2008
SKYROCKIT,1/1/2001
SKYSCRAPER,1/1/2012
SLACK,1/1/2013
SLICED INVESTING,1/1/2014
SMAATO,8/18/2005
SMART PLATE,1/1/2009
SMARTRECRUITERS,9/1/2010
SMARTSHOOT,7/1/2012
SMULE,1/1/2008
SNAPCARD,11/19/2013
SNAPGUIDE,1/1/2011
SNIP2CODE,4/15/2012
SNOWSHOE STAMP,4/1/2010
SOCIABLE LABS,1/1/2009
SOCIALCHORUS,1/1/2008
SOCIALREP,1/1/2006
SOCIALSCOPE,1/1/2009
SOCIALWIRE,7/1/2011
SOFI,4/1/2011
SOJERN,9/10/2007
SOKO,1/1/2012
SOL REPUBLIC,1/1/2011
SOLDSIE,5/1/2012
SOLIO,1/1/2002
SOMA,1/1/2012
SOMA WATER,1/1/2012
SOPHIA SEARCH,7/18/2007
SOSH,1/1/2010
SOTHREE,9/7/2012
SOUNDFLAVOR,1/1/2003
SOUNDFOCUS,8/1/2012
SOURCEEASY,3/1/2013
SOURCERY,1/1/2012
SOVOLVE,1/1/2012
SPARKCENTRAL,6/1/2011
SPEAKUP,11/1/2012
SPECTAFY,12/1/2013
SPENDGO,1/1/2010
"SPHERE (SPHERICAL, INC.)",7/9/2013
SPIDERBOOK,1/1/2013
SPILL INC,6/25/2009
SPIRE,5/24/2013
SPIRE,1/1/2012
SPLENDID LAB,1/1/2013
SPLICE MACHINE,1/1/2012
SPLUNK,10/1/2003
SPLURGY,1/1/2011
SPORTAMBA,1/15/2014
SPORTISTIC,1/1/2009
SPOT FORMERLY PLACEPOP,2/1/2009
SPREAKER,11/1/2009
SPRIG,4/1/2013
SPRINGSHOT,9/29/2011
SPROUTKIN,1/1/2012
SPROUTLING,12/19/2012
SQLSTREAM,12/1/2002
SQOR SPORTS,4/1/2013
SQUARE,2/1/2009
SQUAREONE MAIL,1/1/2012
SQWIGGLE,2/1/2013
STANDARD TREASURY,5/1/2013
STARMAKER INTERACTIVE,11/1/2010
STARTUP COMPASS INC.,12/1/2010
STATELESS NETWORKS,1/1/2012
STATION X,1/1/2010
STELLAR,4/30/2013
STICHER,1/1/2008
STITCH,1/1/2014
STITCH,1/1/2013
STITCH FIX,2/1/2011
STITCH LABS,1/1/2011
STORE VANTAGE,4/1/2012
STOREFRONT,1/1/2012
STOREHOUSE,1/1/2013
STORENVY,8/1/2010
STORYBOX,3/1/2010
STORYWORTH,11/1/2012
STRAVA,1/1/2009
STREAK,1/1/2011
STREETLINE,1/1/2005
STREETOWL,1/1/2011
STRIDE HEALTH,1/1/2013
STRINGR,1/1/2013
STRIPE,1/1/2010
STRUT,10/1/2013
STUDYBLUE,1/1/2009
STUDYSOUP,3/20/2012
STYLEPUZZLE,6/1/2014
STYLESEAT,5/23/2011
SUNFUNDER,1/1/2012
SUNRUN,1/1/2007
SUPERSECRET,1/1/2007
SUPPORTIE,1/1/2013
SURF CANYON,4/18/2006
SURVATA,1/1/2012
SURVEYPAL,1/1/2007
SUTRO,1/1/2014
SWAPDOM,5/1/2013
SWIFT NAVIGATION,1/1/2012
SWIFTSTACK,1/1/2011
SWIFTYPE,1/1/2012
SWINK.TV,1/1/2009
SWIPEGOOD,1/1/2010
SWITCHCAM,3/1/2011
SWITCHFLY,1/1/2003
SWIVEL,12/1/2005
SWRVE,1/1/2011
SWYFT,4/1/2014
SYLLABUSTER,2/1/2012
SYMIC BIOMEDICAL,1/1/2012
SYMPARA MEDICAL,5/1/2012
SYMPHONY COMMERCE,11/15/2010
SYNATA,9/1/2012
SYRMO,7/9/2013
TACTILIZE,6/1/2011
TAKETAKE,1/1/2009
TALENTAG,5/1/2010
TALENTODAY,7/1/2013
TALKABLE,8/15/2010
TALKWHEEL,1/1/2011
TAPAS MEDIA,3/1/2012
TAPINGO,1/1/2012
TAPJOY,1/1/2007
TAPRUSH,1/1/2011
TAPTERA,4/24/2011
TAREASPLUS,9/1/2012
TASKFORCE,7/1/2010
TASKRABBIT,1/1/2008
TASTEMAKER,1/1/2012
TAULIA,1/1/2009
TAXI 24/7,2/29/2012
TECHNORATI,6/1/2002
TEESPY,2/1/2010
TELEBORDER,7/1/2013
TELERIVET,1/1/2012
TELESOCIAL,8/15/2008
TELLAPAL,10/1/2009
TELLY,1/1/2009
TELLY,1/1/2007
TENXER,9/1/2011
TERAFOLD BIOLOGICS INC.,1/1/2012
TERRAPASS,10/1/2004
TEXTUALADS,7/1/2010
THANX,1/1/2012
THE EXTRAORDINARIES,7/1/2009
THE GRID,1/1/2011
THE HUNT,1/1/2013
THE LEAGUE,6/1/2014
THE MAD VIDEO,1/1/2011
THE MINERVA PROJECT,7/1/2011
THE ONE-PAGE COMPANY,2/1/2012
THE ORANGE CHEF,4/1/2011
THE SOCIAL RADIO,1/1/2011
THE WIRELESS REGISTRY,2/15/2013
THEBANKCLOUD,2/1/2013
THEGRID,1/1/2011
THEOREM,1/1/2013
THERABIOL,1/1/2012
THERATIVE,1/1/2004
THIMBLE BIOELECTRONICS,9/1/2012
THIRDLOVE,1/1/2012
THIRDMOTION,1/1/2009
THISMOMENT,1/1/2007
THOUSANDEYES,1/2/2010
THREADFLIP,1/1/2011
THREDUP,1/1/2009
THREE RINGS,3/30/2001
THUMBKANDI,10/11/2012
THUMBTACK,1/1/2008
TICKETFLY,2/1/2008
TIDEPOOL,5/3/2011
TILT,2/8/2012
TIMBUKTU LABS,4/27/2012
TINDIE,1/1/2012
TINYCO,1/1/2009
TIVIX,9/15/2008
TOK.TV,1/1/2012
TOTSPOT,1/1/2014
TOTUS POWER,1/1/2013
TOUCHOFMODERN,5/1/2012
TOUT,1/1/2010
TOUTAPP,5/1/2011
TOWNSQUARED,1/1/2013
TOYTALK,1/1/2011
TRAACKR,2/1/2008
TRADEGIG,1/1/2012
TRADEHILL,3/1/2011
TRADESHIFT,7/1/2009
TRAFFIO,3/1/2012
TRAILERPOP,12/1/2012
TRAITWARE,8/1/2008
TRAVELSITE.COM,3/1/2012
TRELYS,1/1/2012
TRIFACTA,1/1/2012
TRIGGIT,10/1/2006
TRIPORATI,7/7/2008
TRIPPING,1/1/2010
TRIPTEASE,6/1/2013
TRIPTROTTING,1/1/2011
TRUE&CO,5/1/2012
TRUEACCORD,1/1/2013
TRUEANTHEM,1/1/2008
TRUMAKER,9/1/2012
TRUSTCLOUD,4/8/2009
TUNEUP,8/1/2007
TWELVEFOLD,6/12/2004
TWICE,1/1/2012
TWILIO,1/1/2007
TWIST AND SHOUT,1/1/2011
TWIST BIOSCIENCE,1/1/2013
TWITTER,3/21/2006
TWYXT,7/7/2011
TYPESAFE,1/1/2011
UBER,3/1/2009
UBIOME,1/1/2013
UCLASS,1/1/2012
UDEMY,2/1/2010
UMIX.TV,1/1/2013
UNIFI SOFTWARE,11/30/2013
UNIVERSITY OF SOUTH FLORIDA,1/1/2014
UNIVERSITYNOW,1/1/2010
UNMETRIC,2/1/2011
UNYQ,3/1/2014
UPCOUNSEL,4/1/2012
UPOUT,1/1/2011
UPSIDE,1/1/2013
"UPSIGHT, INC.",1/1/2007
URBANSITTER,12/29/2010
URX,2/1/2013
USABLE SECURITY SYSTEMS,1/1/2008
USERVOICE,2/22/2008
USTREAM,1/1/2007
UTAH STREET LABS,1/1/2010
UVERSITY,1/1/2007
UXCAM,11/1/2013
VACATIA,1/1/2012
VALIDUS TECHNOLOGIES CORPORATION,11/1/2004
VALOR WATER ANALYTICS,11/12/2013
VAXART,1/1/2004
VAYABLE,4/1/2011
VEEKER,1/1/2005
VELO LABS,2/1/2013
VELTI,1/1/2001
VENTUREBEAT,9/1/2006
VENTUROCKET,1/6/2011
VERBLING,5/1/2011
VESSEL,1/1/2012
VIAGOGO,1/1/2005
VIANZA,1/1/2011
VICARIOUS,1/1/2010
VIDA HEALTH,1/1/2014
VIDCASTER,5/1/2011
VIDIQ,1/1/2012
VIGLINK,3/19/2009
VIGO,1/1/2013
VIMODI,1/1/2012
VINFOLIO,11/1/2003
VINO VOLO,1/1/2004
VIRALNINJAS,9/1/2011
VIROOL,8/17/2011
VISIBLE.VC,1/1/2012
VISUAL.LY,1/1/2011
VIZERRA,1/1/2008
VOCOMD,4/1/2014
VOICEBASE,2/1/2010
VOICEBUNNY,1/1/2012
VOIQ,7/1/2012
VOLO BROADBAND,8/20/2013
VOLTA INDUSTRIES,1/1/2010
"VOSH, INC.",12/1/2014
VOXER LLC,1/1/2007
VULCUN,5/1/2011
VUMEDI,1/1/2009
VUNGLE,1/1/2011
VURB,1/1/2012
WAGGL,5/1/2014
WAGON,4/1/2014
WALKME,1/1/2012
WALKSOURCE,9/1/2013
WANDERA,1/1/2012
WANELO,1/1/2011
WAPPWOLF,7/28/2010
WATCHWITH,3/20/2012
WATERFALL,8/1/2005
WATERSMART SOFTWARE,11/1/2009
WATSI,8/23/2012
WATTBOT,7/1/2007
WAYSGO,1/1/2009
WE,5/1/2012
WE ARE HUNTED,4/17/2009
WE HEART IT,1/1/2011
WEARABLE INTELLIGENCE,7/1/2013
WEARABLE WORLD,3/1/2013
WEAVE,1/1/2013
WEBCHALET,3/18/2010
WEBTAB,9/1/2010
WEDDING SPOT,5/1/2013
WEDDINGTON WAY,1/1/2011
WEEBLY,1/1/2006
WELLNESSFX,4/1/2010
WELLO,1/1/2011
WGT MEDIA,2/1/2007
WHALE PATH,12/1/2012
WHENSOON,1/1/2011
WHIM,4/1/2013
WHISTLE,1/1/2012
WHITETRUFFLE,8/1/2011
WHO@,1/1/2012
WIBIDATA,1/1/2010
WICKR,1/1/2011
WIDGETBOX,1/4/2012
WIKIA,1/1/2006
WIKIMEDIA FOUNDATION,6/20/2003
WIKINVEST,1/1/2006
WILDFLOWER HEALTH,1/1/2012
WINGZ,1/1/2014
WISH,9/5/2011
WITSBITS,1/1/2004
WIZELINE,11/1/2013
WMBLY,4/1/2010
WORK4,1/1/2010
WORKHANDS,1/28/2013
WORLDLY DEVELOPMENTS,6/1/2009
WUT,1/1/2014
XAMARIN,5/19/2011
XENDO,8/13/2013
XIIMO,1/1/2011
XOCKETS,1/1/2012
XOLA,9/1/2011
XOOM CORPORATION,3/1/2001
Y-KLUB,5/1/2010
YARD CLUB,1/1/2013
YATTOS,5/31/2012
YELP,7/1/2004
YERDLE,1/1/2012
YESPLZ!,1/1/2011
YIDIO,6/4/2008
YO,4/1/2014
YOLA,3/1/2007
YOONO,1/1/2006
YOPRO GLOBAL,3/27/2012
YOUBETME,2/5/2012
YOUNOODLE,7/7/2010
YOUR TRUMAN SHOW,11/1/2006
YOURSTREET,11/1/2006
YOUTH NOISE,10/1/2013
YOYOCARD,10/29/2013
ZAARLY,2/20/2011
ZENDESK,10/5/2007
ZENDRIVE,1/1/2013
ZENEFITS,1/1/2013
ZENPAYROLL,1/1/2011
ZENPUT,1/1/2011
ZEPHYR HEALTH,1/1/2011
ZEPPELIN,9/29/2011
ZEROCATER,1/1/2009
ZEUSS,5/1/2012
ZEXTIT,8/15/2011
ZIGNAL LABS,7/1/2011
ZIPONGO,3/12/2010
ZIPZAP,5/1/2010
ZIRTUAL,1/31/2011
ZIRX,3/1/2014
ZIVITY,1/1/2007
ZOOMFORTH,1/1/2012
ZOOMSYSTEMS,1/1/2002
ZOOSK,11/1/2007
ZOZI,1/1/2007
ZULI,1/1/2012
ZUMPER,1/1/2012
ZYNGA,7/1/2007
